Analysis Type:	PANTHER Enrichment Test (release 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	alert.range.index.txt (Homo sapiens)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
GO molecular function complete	number	overUnder	pvalue	fdr
microtubule binding (GO:0008017)	237	+	4.21E-04	8.51E-02
adenyl nucleotide binding (GO:0030554)	1322	+	4.36E-04	8.44E-02
voltage-gated potassium channel activity (GO:0005249)	82	+	4.47E-04	8.31E-02
dipeptidyl-peptidase activity (GO:0008239)	8	+	4.61E-04	8.24E-02
peptidase regulator activity (GO:0061134)	141	-	5.34E-04	9.20E-02
potassium ion transmembrane transporter activity (GO:0015079)	133	+	5.54E-04	9.19E-02
enzyme inhibitor activity (GO:0004857)	285	-	7.00E-04	1.12E-01
beta-galactoside (CMP) alpha-2,3-sialyltransferase activity (GO:0003836)	6	+	7.35E-04	1.14E-01
heterocyclic compound binding (GO:1901363)	4920	+	7.41E-04	1.11E-01
cadherin binding involved in cell-cell adhesion (GO:0098641)	16	-	8.43E-04	1.22E-01
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	588	+	9.02E-04	1.27E-01
glutamate receptor activity (GO:0008066)	26	-	9.24E-04	1.26E-01
nucleic acid binding (GO:0003676)	3314	+	9.42E-04	1.25E-01
neurotransmitter receptor activity (GO:0030594)	76	-	9.47E-04	1.22E-01
organic cyclic compound binding (GO:0097159)	4971	+	9.48E-04	1.19E-01
sequence-specific DNA binding (GO:0043565)	1313	+	9.51E-04	1.16E-01
fatty acid binding (GO:0005504)	34	-	1.02E-03	1.22E-01
proton transmembrane transporter activity (GO:0015078)	101	+	1.15E-03	1.33E-01
solute:cation symporter activity (GO:0015294)	75	+	1.19E-03	1.34E-01
kinase activity (GO:0016301)	649	+	1.23E-03	1.36E-01
ATPase-coupled transmembrane transporter activity (GO:0042626)	77	+	1.24E-03	1.34E-01
oxidoreductase activity, acting on the CH-NH group of donors (GO:0016645)	25	-	1.25E-03	1.32E-01
olfactory receptor activity (GO:0004984)	52	+	1.28E-03	1.32E-01
sequence-specific double-stranded DNA binding (GO:1990837)	1221	+	1.34E-03	1.35E-01
translation regulator activity, nucleic acid binding (GO:0090079)	101	+	1.41E-03	1.39E-01
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	1038	+	1.62E-03	1.57E-01
DNA-binding transcription factor activity (GO:0003700)	1078	+	1.77E-03	1.68E-01
catalytic activity, acting on RNA (GO:0140098)	340	+	1.81E-03	1.68E-01
transcription cis-regulatory region binding (GO:0000976)	1177	+	1.91E-03	1.74E-01
purine ribonucleoside triphosphate binding (GO:0035639)	1546	+	2.05E-03	1.83E-01
transmembrane transporter activity (GO:0022857)	856	+	2.06E-03	1.80E-01
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	12	-	2.11E-03	1.81E-01
transcription regulatory region nucleic acid binding (GO:0001067)	1179	+	2.16E-03	1.83E-01
double-stranded DNA binding (GO:0003690)	1300	+	2.20E-03	1.82E-01
DNA binding (GO:0003677)	1974	+	2.21E-03	1.80E-01
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	1087	+	2.33E-03	1.87E-01
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	41	-	2.42E-03	1.91E-01
glycosaminoglycan binding (GO:0005539)	158	-	2.51E-03	1.95E-01
PDZ domain binding (GO:0030165)	79	-	2.55E-03	1.94E-01
transporter activity (GO:0005215)	952	+	2.82E-03	2.11E-01
protein kinase activity (GO:0004672)	492	+	2.83E-03	2.08E-01
nucleotide binding (GO:0000166)	1828	+	2.93E-03	2.12E-01
GDP binding (GO:0019003)	64	-	2.93E-03	2.09E-01
nuclear androgen receptor binding (GO:0050681)	25	+	2.95E-03	2.08E-01
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	262	+	3.00E-03	2.08E-01
translation regulator activity (GO:0045182)	130	+	3.01E-03	2.05E-01
copper ion binding (GO:0005507)	43	-	3.06E-03	2.06E-01
secondary active transmembrane transporter activity (GO:0015291)	178	+	3.15E-03	2.09E-01
transcription regulator activity (GO:0140110)	1541	+	3.16E-03	2.07E-01
frizzled binding (GO:0005109)	30	-	3.18E-03	2.05E-01
nucleoside phosphate binding (GO:1901265)	1829	+	3.22E-03	2.05E-01
ribonucleotide binding (GO:0032553)	1615	+	3.25E-03	2.04E-01
endopeptidase regulator activity (GO:0061135)	113	-	3.29E-03	2.04E-01
nucleobase binding (GO:0002054)	4	-	3.57E-03	2.18E-01
DNA-binding transcription repressor activity (GO:0001217)	266	+	3.60E-03	2.17E-01
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	315	+	3.63E-03	2.16E-01
structural constituent of postsynaptic intermediate filament cytoskeleton (GO:0099184)	3	+	3.69E-03	2.17E-01
P-type ion transporter activity (GO:0015662)	16	+	4.00E-03	2.32E-01
neurexin family protein binding (GO:0042043)	13	-	4.10E-03	2.35E-01
antioxidant activity (GO:0016209)	66	-	4.24E-03	2.40E-01
translation factor activity, RNA binding (GO:0008135)	84	+	4.25E-03	2.38E-01
inorganic molecular entity transmembrane transporter activity (GO:0015318)	557	+	4.59E-03	2.54E-01
Wnt-protein binding (GO:0017147)	27	-	4.63E-03	2.53E-01
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529)	44	-	4.67E-03	2.52E-01
nucleotide transmembrane transporter activity (GO:0015215)	24	+	4.67E-03	2.50E-01
receptor ligand activity (GO:0048018)	275	-	4.90E-03	2.59E-01
ion transmembrane transporter activity (GO:0015075)	648	+	5.10E-03	2.66E-01
transmitter-gated channel activity (GO:0022835)	48	-	5.17E-03	2.67E-01
transmitter-gated ion channel activity (GO:0022824)	48	-	5.17E-03	2.64E-01
extracellular ligand-gated ion channel activity (GO:0005230)	56	-	5.17E-03	2.61E-01
kainate selective glutamate receptor activity (GO:0015277)	5	-	5.20E-03	2.60E-01
heparin binding (GO:0008201)	117	-	5.40E-03	2.67E-01
peptide antigen binding (GO:0042605)	9	+	5.74E-03	2.81E-01
phosphatidate phosphatase activity (GO:0008195)	14	-	5.75E-03	2.78E-01
purine ribonucleotide binding (GO:0032555)	1602	+	5.77E-03	2.76E-01
carboxylic acid binding (GO:0031406)	121	-	5.87E-03	2.78E-01
poly(G) binding (GO:0034046)	8	+	5.89E-03	2.76E-01
voltage-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508)	3	+	6.08E-03	2.82E-01
ionotropic glutamate receptor activity (GO:0004970)	19	-	6.21E-03	2.86E-01
P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration (GO:1905056)	3	+	6.24E-03	2.84E-01
P-type transmembrane transporter activity (GO:0140358)	19	+	6.29E-03	2.84E-01
ABC-type peptide transporter activity (GO:0015440)	5	+	6.57E-03	2.94E-01
translation initiation factor activity (GO:0003743)	49	+	6.93E-03	3.07E-01
cis-regulatory region sequence-specific DNA binding (GO:0000987)	950	+	6.99E-03	3.07E-01
acyl-CoA desaturase activity (GO:0016215)	4	-	7.16E-03	3.11E-01
anion:cation symporter activity (GO:0015296)	18	+	7.18E-03	3.09E-01
transferase activity, transferring phosphorus-containing groups (GO:0016772)	774	+	7.26E-03	3.10E-01
RNA stem-loop binding (GO:0035613)	15	+	7.38E-03	3.12E-01
single-stranded RNA binding (GO:0003727)	78	+	7.40E-03	3.10E-01
purine nucleotide binding (GO:0017076)	1616	+	7.43E-03	3.08E-01
signaling receptor regulator activity (GO:0030545)	302	-	7.88E-03	3.24E-01
signaling receptor activator activity (GO:0030546)	281	-	8.15E-03	3.32E-01
telomerase inhibitor activity (GO:0010521)	4	+	8.17E-03	3.30E-01
endopolyphosphatase activity (GO:0000298)	3	-	8.18E-03	3.28E-01
diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486)	3	-	8.18E-03	3.25E-01
bis(5'-adenosyl)-pentaphosphatase activity (GO:0034432)	3	-	8.18E-03	3.22E-01
bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431)	3	-	8.18E-03	3.19E-01
organophosphate ester transmembrane transporter activity (GO:0015605)	27	+	8.45E-03	3.27E-01
ABC-type transporter activity (GO:0140359)	37	+	8.54E-03	3.28E-01
solute:sodium symporter activity (GO:0015370)	47	+	8.92E-03	3.40E-01
neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:0099583)	3	-	8.99E-03	3.40E-01
glycine binding (GO:0016594)	9	-	9.10E-03	3.41E-01
lipopolysaccharide binding (GO:0001530)	22	-	9.19E-03	3.42E-01
peptidase inhibitor activity (GO:0030414)	103	-	9.33E-03	3.44E-01
peptidase activator activity (GO:0016504)	38	-	9.61E-03	3.52E-01
azole transmembrane transporter activity (GO:1901474)	8	+	1.01E-02	3.65E-01
transcription factor binding (GO:0008134)	545	+	1.01E-02	3.65E-01
potassium channel activity (GO:0005267)	105	+	1.02E-02	3.65E-01
cell-cell adhesion mediator activity (GO:0098632)	48	-	1.03E-02	3.65E-01
purine nucleobase binding (GO:0002060)	3	-	1.08E-02	3.82E-01
cytokine activity (GO:0005125)	107	-	1.09E-02	3.80E-01
acetyl-CoA C-acyltransferase activity (GO:0003988)	7	-	1.10E-02	3.82E-01
N-acetylglucosamine-6-sulfatase activity (GO:0008449)	4	-	1.11E-02	3.83E-01
MHC class Ib protein binding (GO:0023029)	3	+	1.13E-02	3.87E-01
poly-purine tract binding (GO:0070717)	29	+	1.22E-02	4.13E-01
endopeptidase inhibitor activity (GO:0004866)	101	-	1.22E-02	4.12E-01
P-type potassium transmembrane transporter activity (GO:0008556)	6	+	1.24E-02	4.13E-01
P-type sodium transporter activity (GO:0008554)	6	+	1.24E-02	4.10E-01
P-type sodium:potassium-exchanging transporter activity (GO:0005391)	6	+	1.24E-02	4.07E-01
catalytic activity, acting on a nucleic acid (GO:0140640)	524	+	1.25E-02	4.09E-01
RNA methyltransferase activity (GO:0008173)	64	+	1.30E-02	4.21E-01
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	932	+	1.32E-02	4.26E-01
DNA-binding transcription factor binding (GO:0140297)	431	+	1.34E-02	4.28E-01
2 iron, 2 sulfur cluster binding (GO:0051537)	20	+	1.34E-02	4.26E-01
symporter activity (GO:0015293)	105	+	1.35E-02	4.25E-01
protein tag (GO:0031386)	12	-	1.39E-02	4.36E-01
[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity (GO:0008467)	6	+	1.41E-02	4.38E-01
oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor (GO:0016649)	3	-	1.42E-02	4.40E-01
structural constituent of presynaptic active zone (GO:0098882)	5	-	1.42E-02	4.38E-01
nuclear localization sequence binding (GO:0008139)	23	+	1.47E-02	4.50E-01
secondary active monocarboxylate transmembrane transporter activity (GO:0015355)	9	+	1.49E-02	4.53E-01
receptor-receptor interaction (GO:0090722)	3	-	1.49E-02	4.51E-01
fatty-acyl-CoA binding (GO:0000062)	20	-	1.50E-02	4.50E-01
thiamine transmembrane transporter activity (GO:0015234)	3	+	1.53E-02	4.55E-01
glycine-gated chloride ion channel activity (GO:0022852)	2	-	1.53E-02	4.53E-01
monocarboxylic acid binding (GO:0033293)	55	-	1.54E-02	4.52E-01
sulfur compound binding (GO:1901681)	201	-	1.56E-02	4.57E-01
Rho GDP-dissociation inhibitor activity (GO:0005094)	3	-	1.58E-02	4.60E-01
D-erythro-sphingosine kinase activity (GO:0017050)	2	+	1.59E-02	4.58E-01
sphinganine kinase activity (GO:0008481)	2	+	1.59E-02	4.55E-01
cadherin binding (GO:0045296)	306	-	1.60E-02	4.57E-01
mitochondrial transcription factor activity (GO:0034246)	3	+	1.62E-02	4.60E-01
metal cluster binding (GO:0051540)	60	+	1.63E-02	4.58E-01
iron-sulfur cluster binding (GO:0051536)	60	+	1.63E-02	4.55E-01
small molecule binding (GO:0036094)	2080	+	1.65E-02	4.60E-01
acyl-L-homoserine-lactone lactonohydrolase activity (GO:0102007)	2	-	1.69E-02	4.66E-01
lactonohydrolase activity (GO:0046573)	2	-	1.69E-02	4.63E-01
S100 protein binding (GO:0044548)	14	-	1.69E-02	4.61E-01
ATP-dependent activity, acting on RNA (GO:0008186)	70	+	1.70E-02	4.61E-01
transferase activity (GO:0016740)	1941	+	1.70E-02	4.59E-01
chromatin binding (GO:0003682)	495	+	1.70E-02	4.57E-01
isocitrate dehydrogenase (NAD+) activity (GO:0004449)	3	+	1.74E-02	4.64E-01
ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)	3	-	1.77E-02	4.69E-01
G protein-coupled neurotensin receptor activity (GO:0016492)	2	-	1.77E-02	4.67E-01
sterol response element binding (GO:0032810)	3	-	1.80E-02	4.74E-01
inorganic phosphate transmembrane transporter activity (GO:0005315)	5	+	1.81E-02	4.72E-01
TAP1 binding (GO:0046978)	4	+	1.81E-02	4.70E-01
TAP binding (GO:0046977)	4	+	1.81E-02	4.67E-01
ABC-type peptide antigen transporter activity (GO:0015433)	4	+	1.81E-02	4.65E-01
acetyl-CoA C-acetyltransferase activity (GO:0003985)	6	-	1.83E-02	4.67E-01
very long-chain fatty acid-CoA ligase activity (GO:0031957)	9	-	1.83E-02	4.65E-01
amide transmembrane transporter activity (GO:0042887)	27	+	1.83E-02	4.62E-01
ionotropic glutamate receptor binding (GO:0035255)	21	-	1.85E-02	4.65E-01
amino acid binding (GO:0016597)	45	-	1.91E-02	4.77E-01
heparan sulfate sulfotransferase activity (GO:0034483)	13	+	1.94E-02	4.81E-01
alpha-adrenergic receptor activity (GO:0004936)	5	-	1.96E-02	4.84E-01
fatty acid derivative binding (GO:1901567)	21	-	1.98E-02	4.86E-01
pyridoxal phosphatase activity (GO:0033883)	3	-	1.98E-02	4.85E-01
chondroitin sulfate binding (GO:0035374)	9	-	1.98E-02	4.82E-01
mitochondrial promoter sequence-specific DNA binding (GO:0001018)	3	+	1.99E-02	4.82E-01
benzodiazepine receptor binding (GO:0030156)	2	-	2.03E-02	4.88E-01
acyl-CoA oxidase activity (GO:0003997)	6	-	2.10E-02	5.02E-01
voltage-gated channel activity (GO:0022832)	162	+	2.10E-02	5.00E-01
death domain binding (GO:0070513)	10	-	2.13E-02	5.05E-01
monosialoganglioside sialyltransferase activity (GO:0047288)	3	+	2.15E-02	5.07E-01
solute:proton antiporter activity (GO:0015299)	22	+	2.17E-02	5.09E-01
monovalent cation:proton antiporter activity (GO:0005451)	22	+	2.17E-02	5.06E-01
phosphotransferase activity, for other substituted phosphate groups (GO:0016780)	22	-	2.19E-02	5.09E-01
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	57	+	2.20E-02	5.07E-01
cadmium ion transmembrane transporter activity (GO:0015086)	3	+	2.21E-02	5.09E-01
voltage-gated cation channel activity (GO:0022843)	124	+	2.23E-02	5.10E-01
peptidase activator activity involved in apoptotic process (GO:0016505)	15	-	2.23E-02	5.09E-01
UDP-glycosyltransferase activity (GO:0008194)	102	-	2.25E-02	5.09E-01
oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)	14	-	2.26E-02	5.10E-01
G protein-coupled purinergic nucleotide receptor activity (GO:0045028)	9	-	2.27E-02	5.10E-01
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	40	+	2.28E-02	5.09E-01
lipid kinase activity (GO:0001727)	6	+	2.29E-02	5.08E-01
acyl-CoA binding (GO:0120227)	22	-	2.32E-02	5.13E-01
coreceptor activity (GO:0015026)	33	-	2.32E-02	5.11E-01
lipid phosphatase activity (GO:0042577)	14	-	2.33E-02	5.10E-01
cholate-CoA ligase activity (GO:0047747)	2	-	2.33E-02	5.09E-01
voltage-gated ion channel activity (GO:0005244)	161	+	2.33E-02	5.07E-01
molecular function regulator activity (GO:0098772)	1524	-	2.35E-02	5.09E-01
scaffold protein binding (GO:0097110)	63	-	2.37E-02	5.09E-01
methyl-CpG binding (GO:0008327)	21	+	2.40E-02	5.14E-01
dimethylargininase activity (GO:0016403)	2	-	2.40E-02	5.11E-01
linoleoyl-CoA desaturase activity (GO:0016213)	2	-	2.41E-02	5.10E-01
inositol monophosphate 1-phosphatase activity (GO:0008934)	3	+	2.42E-02	5.11E-01
inositol monophosphate phosphatase activity (GO:0052834)	3	+	2.42E-02	5.09E-01
inositol monophosphate 4-phosphatase activity (GO:0052833)	3	+	2.42E-02	5.06E-01
inositol monophosphate 3-phosphatase activity (GO:0052832)	3	+	2.42E-02	5.04E-01
protein serine/threonine kinase activator activity (GO:0043539)	46	+	2.44E-02	5.07E-01
histone binding (GO:0042393)	228	+	2.45E-02	5.05E-01
hexosyltransferase activity (GO:0016758)	147	-	2.45E-02	5.03E-01
NADPH:quinone reductase activity (GO:0003960)	3	-	2.46E-02	5.04E-01
cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	13	-	2.49E-02	5.07E-01
FAD transmembrane transporter activity (GO:0015230)	2	+	2.49E-02	5.05E-01
anion binding (GO:0043168)	1991	+	2.50E-02	5.04E-01
structural constituent of muscle (GO:0008307)	38	-	2.54E-02	5.10E-01
minus-end-directed microtubule motor activity (GO:0008569)	12	-	2.54E-02	5.09E-01
misfolded protein binding (GO:0051787)	27	-	2.54E-02	5.07E-01
antiporter activity (GO:0015297)	73	+	2.60E-02	5.17E-01
stearoyl-CoA 9-desaturase activity (GO:0004768)	3	-	2.64E-02	5.23E-01
adenylate cyclase inhibiting G protein-coupled glutamate receptor activity (GO:0001640)	8	-	2.64E-02	5.21E-01
G protein-coupled glutamate receptor activity (GO:0098988)	8	-	2.64E-02	5.18E-01
cytokine binding (GO:0019955)	96	-	2.67E-02	5.22E-01
glutathione transferase activity (GO:0004364)	19	-	2.68E-02	5.20E-01
ubiquitin-like protein peptidase activity (GO:0019783)	100	+	2.70E-02	5.22E-01
glycine transmembrane transporter activity (GO:0015187)	7	+	2.71E-02	5.22E-01
RNA strand annealing activity (GO:0033592)	5	+	2.71E-02	5.20E-01
phosphatidylinositol phosphate kinase activity (GO:0016307)	14	+	2.72E-02	5.20E-01
oxidative phosphorylation uncoupler activity (GO:0017077)	4	+	2.72E-02	5.18E-01
testosterone dehydrogenase (NAD+) activity (GO:0047035)	7	-	2.72E-02	5.17E-01
protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	9	-	2.73E-02	5.15E-01
mRNA regulatory element binding translation repressor activity (GO:0000900)	15	+	2.74E-02	5.15E-01
inositol 1,4,5 trisphosphate binding (GO:0070679)	11	+	2.80E-02	5.24E-01
aminoacyltransferase activity (GO:0016755)	13	+	2.86E-02	5.33E-01
exoribonuclease activity (GO:0004532)	39	+	2.91E-02	5.42E-01
cation:chloride symporter activity (GO:0015377)	16	+	2.93E-02	5.41E-01
sulfiredoxin activity (GO:0032542)	2	+	2.93E-02	5.40E-01
molecular sequestering activity (GO:0140313)	13	-	2.94E-02	5.40E-01
sodium ion transmembrane transporter activity (GO:0015081)	115	+	2.98E-02	5.44E-01
threonine-tRNA ligase activity (GO:0004829)	3	+	2.98E-02	5.43E-01
tubulin binding (GO:0015631)	331	+	3.00E-02	5.45E-01
1-phosphatidylinositol-4-phosphate 5-kinase activity (GO:0016308)	9	+	3.01E-02	5.43E-01
purine nucleotide transmembrane transporter activity (GO:0015216)	17	+	3.03E-02	5.46E-01
ATPase-coupled cation transmembrane transporter activity (GO:0019829)	44	+	3.04E-02	5.45E-01
calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration (GO:0099534)	2	-	3.09E-02	5.51E-01
calcium ion binding involved in regulation of cytosolic calcium ion concentration (GO:0099510)	2	-	3.09E-02	5.49E-01
adrenergic receptor activity (GO:0004935)	7	-	3.14E-02	5.57E-01
ATP:ADP antiporter activity (GO:0005471)	5	+	3.15E-02	5.57E-01
ATP hydrolysis activity (GO:0016887)	296	+	3.16E-02	5.56E-01
electron-transferring-flavoprotein dehydrogenase activity (GO:0004174)	2	-	3.17E-02	5.55E-01
11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity (GO:0003845)	2	+	3.18E-02	5.55E-01
nuclear receptor binding (GO:0016922)	131	+	3.21E-02	5.58E-01
G protein-coupled ADP receptor activity (GO:0001621)	3	-	3.26E-02	5.65E-01
amino acid:monoatomic cation antiporter activity (GO:0140848)	4	+	3.31E-02	5.72E-01
GTPase activity (GO:0003924)	284	-	3.33E-02	5.73E-01
insulin receptor substrate binding (GO:0043560)	12	+	3.39E-02	5.82E-01
C-acyltransferase activity (GO:0016408)	15	-	3.43E-02	5.85E-01
histone H3-di/monomethyl-lysine-9 demethylase activity (GO:0140683)	5	+	3.44E-02	5.86E-01
demethylase activity (GO:0032451)	37	+	3.52E-02	5.97E-01
transferase activity, transferring one-carbon groups (GO:0016741)	199	+	3.53E-02	5.96E-01
rRNA methyltransferase activity (GO:0008649)	21	+	3.54E-02	5.96E-01
ubiquitin-like protein transferase activity (GO:0019787)	409	+	3.54E-02	5.94E-01
type 2 fibroblast growth factor receptor binding (GO:0005111)	4	+	3.63E-02	6.07E-01
kinase inhibitor activity (GO:0019210)	70	-	3.65E-02	6.07E-01
RNA helicase activity (GO:0003724)	68	+	3.66E-02	6.07E-01
aldehyde-lyase activity (GO:0016832)	8	+	3.66E-02	6.05E-01
ligand-gated anion channel activity (GO:0099095)	16	-	3.67E-02	6.04E-01
collagen binding (GO:0005518)	54	-	3.68E-02	6.04E-01
hedgehog receptor activity (GO:0008158)	3	-	3.69E-02	6.04E-01
carbon-oxygen lyase activity, acting on phosphates (GO:0016838)	3	-	3.69E-02	6.02E-01
poly(A)-specific ribonuclease activity (GO:0004535)	12	+	3.72E-02	6.05E-01
ADP transmembrane transporter activity (GO:0015217)	8	+	3.75E-02	6.08E-01
vascular endothelial growth factor receptor 2 binding (GO:0043184)	7	+	3.78E-02	6.09E-01
adenine transmembrane transporter activity (GO:0015207)	2	+	3.81E-02	6.12E-01
nucleobase transmembrane transporter activity (GO:0015205)	2	+	3.81E-02	6.10E-01
purine nucleobase transmembrane transporter activity (GO:0005345)	2	+	3.81E-02	6.08E-01
inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity (GO:0005220)	3	+	3.88E-02	6.18E-01
oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor (GO:0016639)	2	-	3.90E-02	6.18E-01
glutamate dehydrogenase (NADP+) activity (GO:0004354)	2	-	3.90E-02	6.16E-01
glutamate dehydrogenase [NAD(P)+] activity (GO:0004353)	2	-	3.90E-02	6.14E-01
glutamate dehydrogenase (NAD+) activity (GO:0004352)	2	-	3.90E-02	6.12E-01
succinate dehydrogenase activity (GO:0000104)	4	+	3.93E-02	6.15E-01
oleic acid binding (GO:0070538)	3	-	3.94E-02	6.14E-01
organic anion transmembrane transporter activity (GO:0008514)	143	+	3.95E-02	6.13E-01
intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)	10	-	3.95E-02	6.12E-01
L-aspartate:2-oxoglutarate aminotransferase activity (GO:0004069)	2	+	3.95E-02	6.10E-01
extracellular matrix protein binding (GO:1990430)	5	-	3.97E-02	6.11E-01
glycosyltransferase activity (GO:0016757)	218	-	4.00E-02	6.13E-01
G protein-coupled peptide receptor activity (GO:0008528)	90	-	4.01E-02	6.13E-01
platelet-derived growth factor receptor binding (GO:0005161)	11	-	4.03E-02	6.14E-01
phenylalanine 4-monooxygenase activity (GO:0004505)	2	-	4.05E-02	6.15E-01
4-alpha-hydroxytetrahydrobiopterin dehydratase activity (GO:0008124)	2	-	4.05E-02	6.13E-01
methyltransferase activity (GO:0008168)	187	+	4.07E-02	6.14E-01
G protein activity (GO:0003925)	37	-	4.09E-02	6.15E-01
prostaglandin-D synthase activity (GO:0004667)	3	-	4.11E-02	6.16E-01
bitter taste receptor activity (GO:0033038)	11	+	4.14E-02	6.18E-01
alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity (GO:0008454)	3	-	4.14E-02	6.16E-01
protein phosphatase inhibitor activity (GO:0004864)	40	-	4.20E-02	6.24E-01
glutaminyl-peptide cyclotransferase activity (GO:0016603)	2	+	4.23E-02	6.27E-01
histone H3-methyl-lysine-9 demethylase activity (GO:0032454)	12	+	4.24E-02	6.25E-01
phosphatase inhibitor activity (GO:0019212)	43	-	4.25E-02	6.25E-01
histone H4-methyl-lysine-20 demethylase activity (GO:0035575)	4	+	4.26E-02	6.24E-01
pyruvate transmembrane transporter activity (GO:0050833)	5	+	4.27E-02	6.24E-01
sodium:chloride symporter activity (GO:0015378)	10	+	4.29E-02	6.25E-01
anion:sodium symporter activity (GO:0015373)	10	+	4.29E-02	6.23E-01
non-sequence-specific DNA binding, bending (GO:0044378)	2	+	4.34E-02	6.27E-01
fibroblast growth factor binding (GO:0017134)	17	-	4.34E-02	6.26E-01
oxidoreductase activity (GO:0016491)	590	-	4.34E-02	6.25E-01
alpha1-adrenergic receptor activity (GO:0004937)	3	-	4.37E-02	6.27E-01
protein kinase inhibitor activity (GO:0004860)	67	-	4.40E-02	6.28E-01
ATP-dependent activity (GO:0140657)	458	+	4.41E-02	6.29E-01
growth factor activity (GO:0008083)	90	-	4.43E-02	6.29E-01
heparan sulfate 6-O-sulfotransferase activity (GO:0017095)	3	+	4.45E-02	6.30E-01
helicase activity (GO:0004386)	142	+	4.45E-02	6.29E-01
P-type calcium transporter activity (GO:0005388)	7	+	4.49E-02	6.32E-01
chondroitin sulfate proteoglycan binding (GO:0035373)	2	-	4.51E-02	6.34E-01
succinate dehydrogenase (ubiquinone) activity (GO:0008177)	3	+	4.52E-02	6.33E-01
thrombospondin receptor activity (GO:0070053)	3	-	4.53E-02	6.32E-01
