gene	p.alert	p.control	p.orient
ABCE1	0.80811	0.332843	0.926104
ABCF1	0.395465	0.308356	0.260627
ABCF2	0.095263	0.118619	0.036733
ABCF3	0.240801	0.674655	0.361456
ABCG1	0.944368	0.601241	0.11071
ABCG2	0.483607	0.856009	0.388594
ABCG4	0.000282	0.181732	0.000979
ABCG8	0.024869	0.197593	0.221734
ABHD1	0.000251	0.000105	1.5e-05
ABHD10	0.184543	0.636132	0.720781
ABHD11	0.56555	0.512185	0.9948
ABHD12	0.000283	0.276998	0.013435
ABHD12B	0.415777	0.143343	0.000283
ABHD13	0.23105	0.51582	0.010907
ABHD14A	0.045288	0.548947	0.162933
ABHD14B	0.206917	0.033166	0.185163
ABHD16A	0.169376	0.02013	0.039331
ABHD16B	0.892437	0.104832	0.294216
ABHD17A	0.001162	0.00168	0.000267
ABHD17B	0.153996	0.026016	0.006442
ABHD17C	0.000541	0.00031	2.9e-05
ABHD18	0.317117	0.118313	0.229128
ABHD2	0.091544	0.277863	0.004443
ABHD3	0.35189	0.697891	0.136513
ABHD4	0.018528	0.068539	0.00097
ABHD5	0.978484	0.68882	0.683246
ABHD6	0.008173	0.389103	0.019398
ABHD8	0.223735	0.159639	0.235374
ABI1	0.011282	0.084697	0.000186
ABI2	0.068952	0.513929	0.204788
ABI3	0.518439	0.501922	0.190944
ABL1	0.321028	0.54224	0.599369
ABL2	0.073196	0.232033	0.003182
ABLIM1	0.918043	0.59598	0.461119
ABLIM2	0.000104	0.030633	3.1e-05
ABLIM3	0.200933	0.086959	0.025618
ABR	0.109647	0.051768	0.04239
ABRACL	0.003199	0.002813	5.3e-05
ABRAXAS2	0.900117	0.787261	0.910987
ABT1	0.064842	0.430172	0.026661
ABTB1	0.000615	0.289421	0.0014
ABTB2	0.004181	0.016124	0.000448
ACAA1	0.873431	0.172267	0.035918
ACAA2	0.007737	0.043322	0.000124
ACACA	0.369262	0.892895	0.108225
ACACB	0.47715	0.102001	0.029461
ACAD10	0.869354	0.933095	0.926292
ACAD11	0.008347	0.246311	0.00556
ACAD8	0.013816	0.217314	0.279585
ACAD9	0.046602	0.021099	0.000353
ACADL	0.000816	0.001981	1.7e-05
ACADM	0.143392	0.110604	0.094334
ACADSB	0.961243	0.722288	0.218397
ACADVL	0.000489	5.6e-05	4.3e-05
ACAN	2.5e-05	0.000141	1.7e-05
ACAP2	0.531527	0.357546	0.02581
ACAP3	0.183486	0.713161	0.821105
ACAT1	0.174357	0.363436	0.041102
ACAT2	0.143419	0.317917	0.000512
ACBD3	0.324217	0.32093	0.03546
ACBD4	0.868647	0.729851	0.70038
ACBD5	0.57899	0.097044	0.100892
ACBD6	0.601797	0.715977	0.26839
ACBD7	0.267188	0.240599	0.550905
ACCS	0.003134	0.124375	0.002178
ACD	0.470927	0.294432	0.606954
ACE	0.043291	0.868029	0.121512
ACER2	0.670871	0.897243	0.089256
ACER3	0.027417	0.14515	0.010259
ACHE	0.033069	0.022076	0.176924
ACIN1	0.703085	0.15083	0.266591
ACKR1	0.822	0.158049	0.613367
ACKR2	0.912716	0.602605	0.721495
ACKR3	2.3e-05	3.2e-05	9e-06
ACKR4	0.869342	0.619449	0.82621
ACLY	0.101977	0.036273	0.053477
ACO1	0.80567	0.731579	0.733831
ACO2	0.948179	0.320551	0.028504
ACOT11	0.331511	0.139356	0.338704
ACOT13	0.884573	0.278191	0.01162
ACOT2	0.000127	0.000105	1.8e-05
ACOT4	0.477377	0.269967	0.149901
ACOT7	0.147277	0.238653	0.004469
ACOT8	0.002074	0.000408	2.7e-05
ACOT9	0.001842	0.001203	0.000123
ACOX1	0.437016	0.748612	0.209434
ACOX2	0.000373	0.00317	1.7e-05
ACOX3	0.030264	0.020439	3.5e-05
ACP1	0.003201	0.014925	3.8e-05
ACP2	0.729017	0.056131	0.124111
ACP5	0.064464	0.226566	0.032159
ACP6	0.458511	0.62493	0.153206
ACPP	0.593705	0.795875	0.519726
ACR	0.117652	0.222755	0.157948
ACRBP	0.51685	0.881954	0.6583
ACSBG1	0.015659	0.990904	0.01178
ACSF2	0.000539	0.290405	0.000282
ACSF3	0.110908	0.631766	0.577476
ACSL1	0.683106	0.997997	0.311024
ACSL3	0.00231	0.010891	7.5e-05
ACSL4	0.000505	0.02623	0.000146
ACSL6	9.2e-05	8.2e-05	2.4e-05
ACSM1	0.721514	0.016433	0.197607
ACSM2A	0.153582	0.478277	0.426364
ACSM5	0.000711	0.000734	2.5e-05
ACSS1	0.102486	0.685169	0.031673
ACSS2	0.004858	0.339984	0.01219
ACSS3	0.193008	0.622174	0.05341
ACTA1	0.059658	0.068972	7.1e-05
ACTA2	0.218678	0.09886	0.007908
ACTB	0.303392	0.026869	0.005483
ACTBL2	0.289847	0.913492	0.509613
ACTC1	0.003934	0.042952	3.7e-05
ACTG1	0.000553	0.079593	6.7e-05
ACTG1P4	0.001147	0.03423	0.000119
ACTG2	0.401426	0.069469	0.03065
ACTL10	0.78415	0.533954	0.555073
ACTL6A	0.906259	0.788702	0.369108
ACTL6B	0.043119	0.050533	0.003901
ACTL8	0.218387	0.819666	0.879482
ACTN1	0.102439	0.030713	0.016507
ACTN2	0.16458	0.071275	0.002166
ACTN4	6.7e-05	0.000811	2.3e-05
ACTR10	0.001237	0.126704	4.6e-05
ACTR1A	0.016608	0.009088	3.7e-05
ACTR1B	0.007442	0.001331	3.4e-05
ACTR2	0.3715	0.03598	0.044307
ACTR3	0.527438	0.332632	0.604718
ACTR3B	0.000304	0.000164	1.3e-05
ACTR3BP2	0.041196	0.655939	0.015889
ACTR3C	0.532863	0.367146	0.038232
ACTR5	0.078987	0.110559	0.873363
ACTR6	0.125026	0.000528	0.006186
ACTR8	0.455022	0.049925	0.925836
ACTRT3	0.28282	0.373191	0.172463
ACVR1	0.030666	0.156908	0.050865
ACVR1B	0.540589	0.961973	0.93847
ACVR1C	0.00066	0.080861	0.000121
ACVR2A	3.4e-05	6.7e-05	1.7e-05
ACVR2B	0.002398	0.134265	0.000729
ACVRL1	0.497475	0.950097	0.710377
ACY3	0.015535	0.002126	4.6e-05
ACYP1	0.818882	0.491017	0.506694
ACYP2	2.1e-05	1.7e-05	9e-06
ADA	0.785589	0.939655	0.91219
ADA2	0.288831	0.25525	0.373236
ADAD2	0.097489	0.371451	0.361942
ADAL	0.562136	0.307131	0.940078
ADAM10	0.445707	0.630361	0.481201
ADAM11	0.004387	0.037289	0.029337
ADAM15	0.291689	0.083822	0.111287
ADAM17	0.152524	0.005531	0.030591
ADAM19	0.592429	0.165553	0.281541
ADAM20	0.359678	0.175647	0.096945
ADAM20P1	0.133954	0.357172	0.040678
ADAM22	9.1e-05	0.005521	3.2e-05
ADAM23	2.3e-05	4.6e-05	1.5e-05
ADAM28	9.2e-05	4.9e-05	2e-05
ADAM29	0.76895	0.569954	0.29763
ADAM33	0.631354	0.314466	0.932
ADAM7	0.506658	0.309986	0.350706
ADAM8	0.150142	0.081882	0.000161
ADAM9	0.548842	0.447416	0.011839
ADAMTS1	0.97564	0.976521	0.886418
ADAMTS10	0.547781	0.08309	0.258482
ADAMTS13	0.004804	0.05965	7e-05
ADAMTS14	0.158912	0.635409	0.049923
ADAMTS19	4.6e-05	0.003237	2.5e-05
ADAMTS2	0.568327	0.684636	0.9873
ADAMTS4	0.224371	0.490311	0.595597
ADAMTS5	0.00011	0.007959	3.8e-05
ADAMTS7	0.06544	0.751613	0.002203
ADAMTS8	0.532639	0.797945	0.173734
ADAMTS9	0.002313	0.021096	2.2e-05
ADAMTSL1	0.024404	0.00709	8.7e-05
ADAMTSL2	0.126336	0.011726	9.7e-05
ADAMTSL3	0.478454	0.041939	0.001542
ADAMTSL5	0.632959	0.707097	0.951544
ADAP1	0.746938	0.806014	0.359231
ADAP2	0.000229	0.000228	3e-05
ADAR	0.358968	0.834588	0.662664
ADARB1	0.188993	0.827942	0.546442
ADARB2	0.944864	0.165716	0.547491
ADARB2.AS1	0.913319	0.688831	0.136368
ADAT1	0.0034	0.011632	0.001203
ADAT2	0.80394	0.737523	0.600265
ADAT3	0.013123	0.011577	0.013997
ADCK1	0.818036	0.332208	0.431606
ADCK2	0.725552	0.297104	0.562065
ADCK5	0.020952	0.008468	0.001008
ADCY1	0.189005	0.141601	0.020622
ADCY10P1	0.495341	0.491336	0.986117
ADCY2	0.019087	0.035205	7.3e-05
ADCY3	0.103641	0.403303	0.00434
ADCY4	0.431066	0.677811	0.849946
ADCY5	0.36972	0.983486	0.321487
ADCY6	0.823579	0.914337	0.633062
ADCY7	0.010847	0.073856	9.9e-05
ADCY8	0.431321	0.143905	0.170715
ADCY9	2.8e-05	7.6e-05	2.1e-05
ADCYAP1	0.094972	0.249321	0.000763
ADCYAP1R1	7.6e-05	0.000304	1.7e-05
ADD1	0.000937	0.000731	1.7e-05
ADD2	0.84494	0.561369	0.097646
ADD3	0.002874	0.811188	0.005273
ADGRA1	0.023973	0.488345	0.07345
ADGRA2	0.12503	0.778229	0.164383
ADGRA3	6.2e-05	0.001949	2.1e-05
ADGRB1	0.342484	0.701923	0.214774
ADGRB2	0.347064	0.618542	0.087001
ADGRB3	0.001362	0.007002	5.1e-05
ADGRE5	0.477102	0.547148	0.153721
ADGRF5	0.199568	0.03408	0.000982
ADGRG1	4.5e-05	0.000744	1.7e-05
ADGRG5	0.629148	0.183483	0.285716
ADGRG6	0.025044	0.000804	0.002224
ADGRL1	0.021615	0.043708	0.007972
ADGRL2	0.005208	0.001797	4e-05
ADGRL3	0.003227	0.038101	0.00026
ADGRL4	0.078235	0.457996	0.057175
ADGRV1	0.000331	0.115718	5.5e-05
ADH1C	0.008293	0.871428	0.098202
ADH5	0.107336	0.630026	0.063671
ADHFE1	0.020274	0.603348	0.028962
ADI1	0.001732	0.050305	0.000113
ADIPOR1	0.111348	0.610231	0.240834
ADIPOR2	0.386928	0.723086	0.574322
ADIRF	7e-05	2.3e-05	1.4e-05
ADK	0.017641	0.017961	0.097479
ADM	0.008228	0.08673	0.000721
ADM5	6.8e-05	0.000197	1.8e-05
ADNP	0.202794	0.072553	0.096378
ADNP.AS1	0.724081	0.849603	0.774875
ADNP2	0.03179	0.382918	0.005544
ADO	0.000897	0.00062	9.3e-05
ADORA1	0.057598	0.030218	0.074035
ADORA2B	0.000179	0.10752	2.9e-05
ADPGK	0.1686	0.080235	0.079341
ADPRHL1	0.020866	0.745169	0.355411
ADPRHL2	0.110712	0.059865	0.004585
ADPRM	0.988833	0.205348	0.365627
ADRA1A	0.089016	0.077618	0.003647
ADRA1B	0.000844	0.003645	3.3e-05
ADRA1D	0.000457	0.001085	0.001277
ADRA2A	0.785488	0.193805	0.268699
ADRA2C	0.001898	0.000899	3e-05
ADRB1	0.027214	0.103688	0.001076
ADRB2	0.00013	5.6e-05	2.4e-05
ADRM1	0.779107	0.538392	0.275949
ADSL	0.100243	0.474861	0.089892
ADSS	0.760192	0.194486	0.663087
ADSSL1	0.023977	0.080061	0.009258
ADTRP	0.000984	0.004584	4.4e-05
AEBP1	0.004031	0.011804	3e-05
AEBP2	0.003815	0.003237	5.7e-05
AES	0.433836	0.099053	0.100991
AFAP1	0.190683	0.193059	0.176194
AFAP1L1	0.050205	0.088226	0.062234
AFAP1L2	0.563113	0.653826	0.186295
AFDN	0.8109	0.24361	0.280665
AFDN.DT	0.123199	0.014386	0.043615
AFF1	0.194625	0.358757	0.007961
AFF2	0.02179	0.004409	0.001201
AFF3	0.821792	0.738003	0.82366
AFF4	0.704806	0.305058	0.719839
AFG1L	0.411209	0.522343	0.653899
AFG3L1P	0.479365	0.470681	0.019815
AFG3L2	0.199421	0.046028	0.007277
AFMID	0.779632	0.969654	0.699732
AFTPH	0.000361	0.008152	5.8e-05
AGA	0.05654	0.04694	0.000151
AGAP1	0.99229	0.522603	0.216487
AGAP11	0.695344	0.583711	0.051294
AGAP2	0.011564	0.140247	0.004476
AGAP2.AS1	0.274705	0.202396	0.05317
AGAP3	0.047762	0.245309	0.010002
AGAP5	0.223483	0.037419	0.001196
AGBL2	0.925989	0.661248	0.791
AGBL3	0.606686	0.906976	0.994691
AGBL4	0.512283	0.489318	0.799661
AGBL5	0.42004	0.921563	0.059149
AGER	0.174288	0.0011	0.032449
AGFG1	0.480787	0.658318	0.338313
AGFG2	0.168514	0.202455	0.015495
AGGF1	0.495842	0.134563	0.392302
AGK	0.002266	0.087022	0.000253
AGL	0.327928	0.483987	0.444001
AGMAT	0.520442	0.34631	0.152324
AGO1	6.2e-05	0.002175	2e-05
AGO2	0.966315	0.896942	0.180856
AGO3	0.153621	0.487542	0.022163
AGO4	0.189747	0.061228	0.000267
AGPAT1	0.100349	0.00285	0.000673
AGPAT3	0.000286	0.271003	0.000274
AGPAT4	0.318374	0.290131	0.129159
AGPAT4.IT1	0.205808	0.322494	0.060243
AGPAT5	0.472617	0.004229	0.418326
AGPS	0.661829	0.512764	0.596551
AGRN	0.077242	0.030768	0.063842
AGT	0.094168	0.730148	0.278376
AGTPBP1	0.330877	0.307413	0.024693
AGTRAP	0.331811	0.068164	0.097903
AGXT	0.835173	0.806051	0.865712
AHCTF1	0.424451	0.089421	0.084446
AHCY	0.100371	0.008741	0.000367
AHCYL1	0.841973	0.391531	0.986209
AHCYL2	0.909314	0.407478	0.505519
AHDC1	0.015498	0.003838	0.003102
AHI1	0.049808	0.021989	8.8e-05
AHNAK	0.007779	0.149635	0.00011
AHNAK2	0.070483	0.41865	0.380377
AHR	0.590988	0.96617	0.985235
AHRR	0.00012	0.000804	1.8e-05
AHSA1	0.232404	0.154655	0.089683
AHSA2P	0.164994	0.793514	0.815054
AHSG	0.023843	0.046337	0.096731
AIDA	0.089169	0.106048	0.00732
AIF1	0.000251	0.001833	3.1e-05
AIF1L	0.250977	0.334731	0.323314
AIFM1	0.143605	0.47094	0.330836
AIFM2	0.000426	0.003981	4.4e-05
AIFM3	0.000105	0.002714	4e-05
AIG1	0.151574	0.412204	0.009532
AIM2	0.276294	0.047299	0.913955
AIMP1	0.163927	0.088999	0.051728
AIMP2	0.937579	0.995003	0.206304
AIP	0.132714	0.577226	0.473195
AIRE	0.592688	0.741304	0.134114
AJAP1	0.001143	0.015513	0.000587
AJM1	0.174596	0.393945	0.118079
AK1	0.001017	0.00809	0.000193
AK2	0.000638	0.071364	0.003062
AK3	0.013635	0.104589	0.00017
AK4	0.00012	0.00831	1.5e-05
AK5	0.039545	0.020626	0.000699
AK6	0.032647	0.326329	0.020284
AK8	0.245884	0.042356	0.009621
AK9	0.568592	0.876721	0.393527
AKAIN1	0.002185	0.587094	0.005587
AKAP1	0.729177	0.3462	0.850133
AKAP10	0.633578	0.643247	0.282494
AKAP11	0.930463	0.505028	0.171979
AKAP12	0.000496	0.146855	0.009868
AKAP13	0.008321	0.003081	4.5e-05
AKAP17A	0.370794	0.822518	0.039454
AKAP5	0.022472	0.124139	0.003042
AKAP6	0.079998	0.990202	0.362422
AKAP7	8.7e-05	0.00013	4.3e-05
AKAP8	0.231143	0.587089	0.010112
AKAP8L	0.554871	0.008312	0.067249
AKAP9	0.591319	0.194498	0.296723
AKIP1	0.092289	0.004805	0.00056
AKIRIN1	0.213179	0.044993	0.066885
AKIRIN2	0.307383	0.706281	0.081185
AKR1A1	0.935006	0.9438	0.824938
AKR1B1	0.60202	0.220139	0.984075
AKR1C1	0.347905	0.060489	0.4507
AKR1C3	0.449191	0.302087	0.124256
AKR1C4	0.586155	0.117158	0.251096
AKR1E2	0.604976	0.817632	0.720436
AKR7A2	0.007843	0.016911	3.2e-05
AKR7A2P1	0.008898	0.00024	0.000135
AKR7A3	0.061934	0.938519	0.067255
AKR7L	0.000258	0.010241	2.4e-05
AKT1	0.630657	0.098383	0.1051
AKT1S1	0.018935	0.754688	0.017928
AKT2	0.38666	0.228343	0.114145
AKT3	0.151258	0.179015	0.804286
AKTIP	0.803672	0.115965	0.813496
ALAD	0.602054	0.261254	0.120331
ALAS1	0.081473	0.477404	0.696364
ALAS2	0.576725	0.233606	0.592432
ALB	0.068537	0.001429	0.007927
ALCAM	4.2e-05	0.00197	1.9e-05
ALDH16A1	0.218821	0.001059	0.004141
ALDH18A1	0.056439	0.034344	0.007999
ALDH1A1	0.00041	8.9e-05	3.1e-05
ALDH1A3	3.4e-05	5.8e-05	2e-05
ALDH1B1	0.000187	0.015458	0.000365
ALDH1L1	0.009192	0.737462	0.030936
ALDH1L2	0.317515	0.008487	0.012121
ALDH2	0.000759	0.077295	4.6e-05
ALDH3A2	0.021743	0.116792	0.019445
ALDH3B1	0.228506	0.054429	0.0305
ALDH4A1	0.151312	0.567401	0.061153
ALDH5A1	0.66517	0.433647	0.761436
ALDH6A1	0.006734	0.071484	0.000349
ALDH7A1	0.001737	0.016319	0.000397
ALDH8A1	0.96071	0.962263	0.595054
ALDH9A1	0.001345	0.022779	3.2e-05
ALDOA	0.575109	0.507072	0.082488
ALDOC	0.000307	0.030883	0.00745
ALG1	0.996217	0.214332	0.2378
ALG10	0.1965	0.773603	0.657883
ALG10B	0.5102	0.369111	0.040253
ALG11	0.03588	0.322259	0.21395
ALG12	0.473531	0.211118	0.183658
ALG13	0.955493	0.781321	0.736586
ALG14	0.707203	0.633099	0.083099
ALG1L	0.001476	0.012515	4.7e-05
ALG2	0.052338	0.047373	0.000176
ALG3	0.035546	0.171192	0.042426
ALG5	0.281706	0.160087	0.00376
ALG6	0.647169	0.810809	0.999565
ALG8	0.062561	0.048627	0.006193
ALG9	0.357626	0.047823	0.086276
ALK	0.038381	0.025776	1.9e-05
ALKAL1	0.022202	0.279448	0.202719
ALKAL2	4.1e-05	4.5e-05	1.2e-05
ALKBH1	0.051376	0.249788	0.003422
ALKBH2	0.186399	0.882518	0.335669
ALKBH3	0.046665	0.247912	0.249293
ALKBH4	0.79051	0.819194	0.565698
ALKBH5	0.262573	0.007366	0.001301
ALKBH6	0.211895	0.971162	0.055395
ALKBH7	0.122568	0.002647	0.000127
ALKBH8	0.465712	0.367598	0.044305
ALMS1	0.70703	0.770661	0.296212
ALMS1P1	0.035838	0.572205	0.25873
ALOX12B	0.027523	0.461143	0.073455
ALOX12P2	0.843774	0.716693	0.613182
ALOX15B	0.245399	0.043243	0.011588
ALOX5	0.008362	0.003529	4.2e-05
ALOX5AP	0.001796	0.002031	2.1e-05
ALOXE3	0.229793	0.895888	0.205532
ALPK1	0.083497	0.564534	0.108022
ALPL	0.001034	0.00031	2.8e-05
ALPP	0.875881	0.87543	0.751461
ALPPL2	0.765775	0.511508	0.737228
ALS2	0.094002	0.035092	0.000238
ALS2CL	0.972982	0.817079	0.631691
ALS2CR12	0.264709	0.413372	0.238212
ALX3	0.001695	0.01016	4.8e-05
ALYREF	0.001035	0.066711	0.000479
AMACR	0.017787	0.193341	0.004671
AMBRA1	0.528483	0.036774	0.00941
AMD1	0.028288	0.152725	0.000256
AMDHD1	0.606395	0.372242	0.015677
AMDHD2	0.833996	0.18726	0.953309
AMER1	0.000221	0.115631	0.002396
AMER2	0.262751	0.184768	0.08654
AMER3	0.026033	0.600037	0.012337
AMFR	0.918809	0.765185	0.923604
AMH	0.024662	0.017057	0.001707
AMIGO1	0.003943	0.000669	0.000395
AMIGO2	5.4e-05	9.7e-05	2e-05
AMIGO3	0.837722	0.075745	0.373085
AMMECR1	0.003406	0.004956	4.2e-05
AMMECR1L	0.017762	0.304139	0.003717
AMN	0.981381	0.625261	0.962418
AMN1	0.050446	0.325267	0.001513
AMOT	0.017522	0.333081	0.002765
AMOTL1	0.352407	0.802808	0.992028
AMOTL2	0.982225	0.810726	0.931163
AMPD2	0.667751	0.9724	0.464369
AMPD3	0.213544	0.091434	0.036936
AMPH	0.08639	0.753375	0.49526
AMT	0.968044	0.250373	0.197502
AMY2A	0.484029	0.873866	0.214388
AMZ1	0.000141	0.000416	1.5e-05
AMZ2	0.617676	0.351407	0.802675
AMZ2P1	0.0243	0.132189	0.000311
ANAPC1	0.976114	0.630659	0.718528
ANAPC10	0.459344	0.315949	0.123447
ANAPC11	0.054227	0.149253	0.00012
ANAPC13	0.593623	0.372355	0.543235
ANAPC15	0.652396	0.145935	0.269892
ANAPC16	0.019451	0.004463	0.003838
ANAPC2	0.887225	0.89668	0.710519
ANAPC4	0.255761	0.656194	0.402449
ANAPC5	0.435404	0.008356	0.025928
ANAPC7	0.613793	0.875719	0.679951
ANG	0.025779	0.000238	4.7e-05
ANGEL1	0.435009	0.250412	0.890425
ANGEL2	0.98869	0.364535	0.464553
ANGPT1	0.00029	9.5e-05	2.8e-05
ANGPT2	0.086944	0.539547	0.181643
ANGPT4	0.429021	0.732553	0.742039
ANGPTL2	0.015036	0.046952	0.00462
ANGPTL4	0.00487	0.012961	5.9e-05
ANGPTL6	0.004207	0.000249	3.5e-05
ANHX	0.468435	0.202958	0.121269
ANK1	3.1e-05	0.000103	1.8e-05
ANK2	0.979098	0.623305	0.637194
ANK3	4.9e-05	0.001165	2.1e-05
ANKAR	0.699764	0.472345	0.873694
ANKDD1A	0.011978	0.013295	0.002263
ANKFY1	0.266109	0.490464	0.009997
ANKH	0.000237	0.000868	3.1e-05
ANKHD1	0.03679	0.007248	0.000583
ANKIB1	0.407576	0.686948	0.324344
ANKK1	0.542729	0.423217	0.710788
ANKLE2	0.013015	0.048929	0.000139
ANKMY2	0.158729	0.040838	0.055657
ANKRA2	0.832118	0.88754	0.173528
ANKRD10	0.417204	0.705057	0.767485
ANKRD11	0.137021	0.323908	0.320828
ANKRD12	0.169251	0.277832	0.021914
ANKRD13A	0.09313	0.048189	0.005561
ANKRD13B	0.32699	0.036921	0.020757
ANKRD13C	0.352324	0.807728	0.564261
ANKRD13D	0.559729	0.833226	0.205542
ANKRD16	0.088399	0.058153	0.000569
ANKRD17	0.937453	0.283225	0.457921
ANKRD18A	0.48116	0.319524	0.635067
ANKRD18B	0.699022	0.716909	0.177012
ANKRD18CP	0.00328	0.009946	8.5e-05
ANKRD18DP	0.41038	0.313485	0.526608
ANKRD19P	1.7e-05	3.3e-05	4e-06
ANKRD2	6.9e-05	0.126739	0.000442
ANKRD20A11P	0.061423	0.023979	0.001125
ANKRD20A12P	0.093022	0.086812	0.033662
ANKRD20A4.ANKRD20A20P	0.002496	0.012769	0.000319
ANKRD20A5P	0.821803	0.126819	0.013654
ANKRD20A8P	0.171684	0.146662	0.02589
ANKRD20A9P	0.000287	0.000274	4.2e-05
ANKRD23	0.994056	0.760076	0.733362
ANKRD24	0.009739	0.118712	0.000823
ANKRD26	0.013959	0.07742	0.000102
ANKRD27	0.014231	0.004242	0.028
ANKRD28	0.986238	0.460717	0.082385
ANKRD29	0.000138	0.001829	1.8e-05
ANKRD30B	0.000205	0.004335	8.6e-05
ANKRD30BP2	0.000947	0.154984	0.007498
ANKRD33	0.865012	0.747783	0.898368
ANKRD33B	0.034401	0.070749	4.9e-05
ANKRD34A	0.08123	0.30838	0.124967
ANKRD34C	0.000721	0.001157	3e-05
ANKRD35	0.019645	0.081613	0.000783
ANKRD36B	0.564556	0.67896	0.465956
ANKRD36BP1	0.567385	0.969266	0.310363
ANKRD36BP2	0.009749	0.072254	0.096529
ANKRD36C	0.948701	0.785008	0.166771
ANKRD37	0.018263	0.090113	0.000531
ANKRD39	0.721601	0.663969	0.580524
ANKRD40	0.29896	0.868795	0.471411
ANKRD42	0.000505	0.000408	9.9e-05
ANKRD44	0.061335	0.531554	0.155766
ANKRD45	0.829638	0.586207	0.924817
ANKRD46	0.030029	0.174033	0.012688
ANKRD49	0.759234	0.648698	0.032361
ANKRD50	5.9e-05	0.000133	1.7e-05
ANKRD52	0.973266	0.812669	0.25914
ANKRD53	0.298553	0.627881	0.331391
ANKRD54	0.110606	0.091544	0.042918
ANKRD6	2.1e-05	2.7e-05	1.1e-05
ANKRD65	0.000622	0.010032	3.8e-05
ANKRD9	0.003885	0.356399	0.038968
ANKS1A	0.000164	0.000639	2.5e-05
ANKS1B	0.507664	0.601605	0.683231
ANKS3	0.005639	0.053091	5e-05
ANKS6	0.000148	0.001044	2.2e-05
ANKZF1	0.077495	0.052262	0.000388
ANLN	0.487372	0.632339	0.696072
ANO10	7.5e-05	0.004092	2.9e-05
ANO2	0.000124	0.000175	1.7e-05
ANO3	0.002564	0.013998	3.1e-05
ANO4	0.008686	0.000718	0.000193
ANO5	4.6e-05	2.9e-05	2e-05
ANO6	0.608999	0.896923	0.53951
ANO7	0.400364	0.45143	0.347978
ANO8	0.23406	0.688068	0.138685
ANOS1	0.000304	0.005484	9e-06
ANP32A	0.473217	0.64354	0.659755
ANP32A.IT1	0.990809	0.79217	0.287469
ANP32AP1	0.364596	0.408497	0.088174
ANP32B	0.048771	0.01718	0.012374
ANP32C	0.53695	0.766698	0.772331
ANP32D	0.245176	0.56396	0.393266
ANP32E	0.004766	0.382413	0.005157
ANTXR1	0.096961	0.988488	0.115568
ANTXR2	0.265048	0.71609	0.641185
ANXA1	9e-05	0.000733	5.3e-05
ANXA11	0.012969	0.000921	0.000161
ANXA2	0.01087	0.003605	8.2e-05
ANXA2P1	0.514801	0.847786	0.247614
ANXA2R	0.695492	0.080437	0.349725
ANXA3	0.00168	0.000165	0.000118
ANXA4	0.683656	0.829748	0.3144
ANXA5	0.125945	0.143688	0.160725
ANXA6	8.1e-05	0.000456	3.6e-05
ANXA7	0.84761	0.73377	0.994052
AOAH	0.018905	0.006914	0.003329
AOC2	0.709893	0.172236	0.764787
AOC3	0.750765	0.847327	0.673316
AP1AR	0.735115	0.752489	0.45557
AP1B1	0.882932	0.421113	0.641271
AP1G1	0.188554	0.519958	0.047542
AP1G2	0.27988	0.640547	0.378267
